"ID","Question1","Question2","Question3","Question4","Question5"
"CAR-749","Y","N","N","Y","N"
"CAR-662","Y","Y","Y","N","Y"
"CAR-325","Y","N","N","N","Y"
"CAR-717","Y","N","Y","N","Y"
"CAR-830","N","N","N","N","N"
"CAR-896","Y","N","Y","Y","Y"
"CAR-427","Y","N","Y","N","N"
"CAR-753","N","Y","N","Y","N"
"CAR-232","N","Y","N","N","N"
"CAR-539","Y","N","Y","Y","Y"
"CAR-315","Y","Y","Y","N","N"
"CAR-140","Y","N","Y","Y","Y"
"CAR-474","Y","N","N","N","N"
"CAR-652","N","Y","N","Y","Y"
"CAR-964","N","Y","Y","N","Y"
"CAR-470","Y","Y","Y","Y","N"
"CAR-967","Y","N","Y","Y","N"
"CAR-744","Y","Y","N","N","N"
"CAR-595","Y","N","N","Y","Y"
"CAR-846","Y","Y","Y","N","Y"
"CAR-376","Y","Y","Y","Y","N"
"CAR-637","N","Y","N","N","Y"
"CAR-786","Y","Y","Y","Y","N"
"CAR-355","Y","Y","Y","N","N"
"CAR-686","N","Y","Y","Y","N"
"CAR-373","N","N","N","N","Y"
"CAR-406","Y","N","Y","Y","N"
"CAR-332","N","Y","N","Y","Y"
"CAR-302","N","N","N","N","N"
"CAR-934","N","N","N","Y","N"
"CAR-741","N","N","N","Y","N"
"CAR-241","Y","Y","N","N","N"
"CAR-598","N","N","Y","N","N"
"CAR-562","N","Y","Y","N","Y"
"CAR-928","Y","Y","Y","N","N"
"CAR-828","N","Y","N","N","N"
"CAR-483","Y","Y","N","Y","N"
"CAR-462","Y","Y","N","Y","N"
"CAR-802","Y","Y","Y","N","N"
"CAR-188","N","N","Y","Y","N"
"CAR-449","N","N","N","N","Y"
"CAR-359","Y","N","Y","Y","N"
"CAR-545","N","Y","N","Y","N"
"CAR-187","Y","Y","N","N","Y"
"CAR-245","N","N","Y","Y","Y"
"CAR-889","Y","Y","Y","Y","Y"
"CAR-354","Y","Y","Y","Y","Y"
"CAR-424","N","Y","Y","N","Y"
"CAR-985","N","N","N","Y","Y"
"CAR-207","N","Y","Y","Y","Y"
"CAR-847","Y","N","Y","N","Y"
"CAR-958","N","N","N","Y","N"
"CAR-752","Y","Y","N","Y","N"
"CAR-660","N","N","Y","Y","Y"
"CAR-596","Y","N","N","N","Y"
"CAR-859","N","N","N","Y","Y"
"CAR-699","Y","Y","Y","Y","Y"
"CAR-124","N","N","Y","N","Y"
"CAR-969","N","Y","Y","N","Y"
"CAR-379","N","N","N","Y","N"
"CAR-181","N","Y","Y","Y","N"
"CAR-678","Y","Y","N","Y","Y"
"CAR-144","Y","Y","Y","N","Y"
"CAR-269","N","N","N","N","N"
"CAR-609","Y","Y","Y","Y","N"
"CAR-295","N","N","N","Y","N"
"CAR-767","Y","Y","Y","Y","Y"
"CAR-478","Y","N","Y","N","N"
"CAR-137","N","N","N","Y","N"
"CAR-139","N","Y","N","Y","Y"
"CAR-523","Y","Y","N","N","Y"
"CAR-231","Y","N","N","Y","Y"
"CAR-706","N","N","N","Y","Y"
"CAR-326","Y","Y","N","N","Y"
